game_id,name,release_date,total_reviews,positive_percent
730,Counter-Strike 2,"21 Aug, 2012",8802816,86
1888930,The Last of Us™ Part I,"28 Mar, 2023",45363,79
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",2554116,59
570,Dota 2,"9 Jul, 2013",2496773,81
553850,HELLDIVERS™ 2,"8 Feb, 2024",730443,77
2669320,EA SPORTS FC™ 25,"26 Sep, 2024",67536,49
1665460,eFootball™,"29 Sep, 2021",91963,47
252490,Rust,"8 Feb, 2018",1018127,87
3183280,Game of Thrones: Kingsroad,"21 May, 2025",2563,61
534380,Dying Light 2 Stay Human: Reloaded Edition,"3 Feb, 2022",145495,79
381210,Dead by Daylight,"14 Jun, 2016",578241,79
1172470,Apex Legends™,"4 Nov, 2020",993831,67
552990,World of Warships,"15 Nov, 2017",146435,77
2625420,Drive Beyond Horizons,"24 Mar, 2025",5561,80
2221490,Tom Clancy’s The Division® 2,"12 Jan, 2023",19527,77
2183900,"Warhammer 40,000: Space Marine 2","9 Sep, 2024",118129,83
2878980,NBA 2K25,"28 Oct, 2024",22234,59
2104890,RoadCraft,"20 May, 2025",4946,72
582660,Black Desert,"16 May, 2018",58922,75
1449850,Yu-Gi-Oh! Master Duel,"18 Jan, 2022",86463,74
230410,Warframe,"25 Mar, 2013",618928,87
1142710,Total War: WARHAMMER III,"16 Feb, 2022",83539,72
1284210,Guild Wars 2,"23 Aug, 2022",21452,88
359550,Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",1188230,84
1466060,Tainted Grail: The Fall of Avalon,"23 May, 2025",7682,87
389430,Knight Online,"25 Jan, 2016",10879,50
236390,War Thunder,"15 Aug, 2013",624387,73
3017860,DOOM: The Dark Ages,"14 May, 2025",13201,86
221100,DayZ,"13 Dec, 2018",355692,77
2767030,Marvel Rivals,"5 Dec, 2024",283557,79
1085660,Destiny 2,"1 Oct, 2019",625274,79
1258080,Shop Titans,"5 May, 2020",16898,78
2139460,Once Human,"9 Jul, 2024",129845,74
1029690,Sniper Elite 5,"25 May, 2022",17422,83
934700,Dead Island 2,"22 Apr, 2024",9344,77
