game_id,original_price,discount_price,discount_percent
730,$68.26 USD,$59.88 USD,12.28
2622380,$25.99 USD,$25.99 USD,0.0
2625420,$20.48 USD,$18.48 USD,9.77
381210,,,
578080,Free To Play,Free To Play,0.0
3059520,$59.99 USD,$59.99 USD,0.0
252490,$54.38 USD,"Your Price:
$39.28 USD",27.77
2933620,,,
306130,,,
2221490,,,
2623190,,,
553850,,,
2669320,$69.99 USD,$69.99 USD,0.0
2183900,$39.99,$23.99 USD,40.01
570,$68.26 USD,$59.88 USD,12.28
2479810,$19.95 USD,$19.95 USD,0.0
359550,$15.99 USD,$15.99 USD,0.0
534380,$46.00,$15.18 USD,67.0
1172470,Free To Play,Free To Play,0.0
2404880,$5.73,$5.15 USD,10.12
2000950,,,
552990,Free To Play,Free To Play,0.0
2104890,$44.78 USD,$36.38 USD,18.76
582660,$4.99 USD,$4.99 USD,0.0
1665460,Free To Play,Free To Play,0.0
2344520,,,
1551360,$32.78 USD,$32.78 USD,0.0
389430,Free To Play,Free To Play,0.0
1938090,,,
668580,,,
3183280,Free To Play,Free To Play,0.0
1119730,$3.99,$0.91 USD,77.19
