appid,total_reviews,positive_reviews,negative_reviews,rating_percent,followers,peak_players
2884150,8,8,0,100,0,0
2782020,2,2,0,100,0,0
3689920,0,0,0,0,0,0
3190840,0,0,0,0,0,0
2863040,8,8,0,100,0,0
3597480,20,20,0,100,0,0
3462150,0,0,0,0,0,0
3622010,0,0,0,0,0,0
3669640,0,0,0,0,0,0
3698470,0,0,0,0,0,0
3547920,0,0,0,0,0,0
3684920,0,0,0,0,0,0
2890980,27,26,1,96,0,0
3698700,0,0,0,0,0,0
3679630,134,108,26,80,0,0
3112550,4,4,0,100,0,0
3399850,1,1,0,100,0,0
3720670,2,1,1,50,0,0
3669370,0,0,0,0,0,0
3697930,1,1,0,100,0,0
3631850,23,23,0,100,0,0
3707090,0,0,0,0,0,0
3751840,3,3,0,100,0,0
3660190,1,1,0,100,0,0
3709980,0,0,0,0,0,0
3660190,1,1,0,100,0,0
3709980,0,0,0,0,0,0
3604960,0,0,0,0,0,0
3745660,5,5,0,100,0,0
3418810,0,0,0,0,0,0
3564910,3,3,0,100,0,0
3472400,34,34,0,100,0,0
3639630,8,8,0,100,0,0
3156440,0,0,0,0,0,0
3503280,2,2,0,100,0,0
3634480,0,0,0,0,0,0
3617580,1,1,0,100,0,0
3672060,0,0,0,0,0,0
3620680,0,0,0,0,0,0
3430820,10,10,0,100,0,0
3749290,0,0,0,0,0,0
3722070,2,2,0,100,0,0
3755080,15,14,1,93,0,0
3506550,0,0,0,0,0,0
2835250,6,4,2,66,0,0
3713300,4,2,2,50,0,0
3711060,5,5,0,100,0,0
3713490,5,5,0,100,0,0
3522480,0,0,0,0,0,0
3173740,66,46,20,69,0,0
3304220,0,0,0,0,0,0
3640190,0,0,0,0,0,0
3699090,0,0,0,0,0,0
3698950,0,0,0,0,0,0
3720710,0,0,0,0,0,0
3749420,0,0,0,0,0,0
3726430,0,0,0,0,0,0
3750100,0,0,0,0,0,0
3731540,0,0,0,0,0,0
3731520,0,0,0,0,0,0
3611720,2,1,1,50,0,0
3502900,2,2,0,100,0,0
3753150,0,0,0,0,0,0
3716240,0,0,0,0,0,0
3716250,0,0,0,0,0,0
595960,210,182,28,86,0,0
3750610,6,5,1,83,0,0
3744350,2,2,0,100,0,0
3288920,0,0,0,0,0,0
3726750,29,25,4,86,0,0
3756210,1,1,0,100,0,0
3743000,1,1,0,100,0,0
3681480,10,7,3,70,0,0
3713580,0,0,0,0,0,0
3743960,3,3,0,100,0,0
3713580,0,0,0,0,0,0
3743960,3,3,0,100,0,0
2540240,5,4,1,80,0,0
3716310,0,0,0,0,0,0
3718150,0,0,0,0,0,0
2915490,114,66,48,57,0,0
3756720,0,0,0,0,0,0
3761590,0,0,0,0,0,0
3725770,0,0,0,0,0,0
3725770,0,0,0,0,0,0
3666470,0,0,0,0,0,0
3481480,3,3,0,100,0,0
3566150,0,0,0,0,0,0
2810780,291,239,52,82,0,0
3246090,0,0,0,0,0,0
3246100,0,0,0,0,0,0
3745220,0,0,0,0,0,0
3681090,1,1,0,100,0,0
3429680,0,0,0,0,0,0
3034520,116,108,8,93,0,0
3277250,3,3,0,100,0,0
2005480,0,0,0,0,0,0
3665350,0,0,0,0,0,0
3645700,0,0,0,0,0,0
3215290,22,22,0,100,0,0
2450230,0,0,0,0,0,0
1125510,0,0,0,0,0,0
3692510,0,0,0,0,0,0
2805200,0,0,0,0,0,0
3751590,2,2,0,100,0,0
3711950,0,0,0,0,0,0
3278190,0,0,0,0,0,0
3152870,61,61,0,100,0,0
3022260,4,4,0,100,0,0
3628960,245,230,15,93,0,0
3727860,4,2,2,50,0,0
2358620,59,49,10,83,0,0
3737840,9,8,1,88,0,0
3169060,30,24,6,80,0,0
3621860,2,2,0,100,0,0
3692270,2,1,1,50,0,0
2283940,10,10,0,100,0,0
2844310,20,20,0,100,0,0
3412210,0,0,0,0,0,0
3451590,0,0,0,0,0,0
3451580,0,0,0,0,0,0
3451550,0,0,0,0,0,0
3451570,1,0,1,0,0,0
3451540,0,0,0,0,0,0
3451530,0,0,0,0,0,0
